batteries 
V(X=-626.97, Y=497.56, Z=597.49)
V(X=1655.65, Y=624.66, Z=605.46)
V(X=-1456.68, Y=1421.62, Z=589.97)
V(X=-1530.39, Y=423.85, Z=570.88)
V(X=-1462.96, Y=-1190.28, Z=593.32)
V(X=1741.18, Y=-816.93, Z=631.01)
V(X=-1710.99, Y=43.53, Z=601.97)
V(X=355.80, Y=-10.45, Z=599.58)
V(X=-1429.68, Y=-904.67, Z=589.01)
V(X=-751.74, Y=1457.64, Z=598.42)
V(X=-168.54, Y=1160.94, Z=589.04)
V(X=-496.45, Y=-104.97, Z=585.03)
V(X=1764.05, Y=1246.82, Z=599.17)
V(X=131.08, Y=1174.38, Z=589.68)
V(X=-1455.92, Y=-260.73, Z=573.91)
V(X=-368.76, Y=1479.92, Z=605.12)
V(X=-1660.25, Y=-1109.02, Z=624.82)
V(X=-1213.31, Y=547.22, Z=618.62)
V(X=1673.64, Y=-301.26, Z=628.73)
V(X=-1702.31, Y=-256.61, Z=606.65)
V(X=981.39, Y=458.50, Z=617.61)
V(X=-353.47, Y=1483.55, Z=569.30)
V(X=-202.25, Y=-654.79, Z=606.38)
V(X=-1451.58, Y=1136.01, Z=593.93)
V(X=-853.09, Y=1565.50, Z=617.69)
V(X=312.87, Y=891.62, Z=576.41)
V(X=1645.02, Y=-1583.86, Z=624.44)
V(X=1143.02, Y=-1029.32, Z=586.62)
V(X=-1779.82, Y=1472.36, Z=599.21)
V(X=-379.49, Y=-1166.43, Z=573.92)
V(X=-150.00, Y=1313.56, Z=571.69)
V(X=-989.68, Y=-381.06, Z=624.55)
V(X=1310.28, Y=402.26, Z=613.43)
V(X=-119.87, Y=930.59, Z=585.73)
V(X=-151.74, Y=-862.86, Z=587.33)
V(X=903.12, Y=1301.09, Z=617.82)
V(X=-701.66, Y=-268.78, Z=571.46)
V(X=-808.00, Y=1252.22, Z=612.55)
V(X=797.54, Y=1573.26, Z=590.76)
V(X=-662.74, Y=-659.21, Z=575.89)
V(X=991.69, Y=-278.69, Z=576.63)
V(X=-81.71, Y=1065.83, Z=600.84)
V(X=342.90, Y=1553.63, Z=620.03)
V(X=-1410.06, Y=93.29, Z=629.89)
V(X=-1512.29, Y=728.21, Z=572.49)
V(X=789.19, Y=1436.54, Z=627.88)
V(X=916.56, Y=-1587.29, Z=568.87)
V(X=80.03, Y=-1577.18, Z=614.00)
V(X=-937.97, Y=-660.78, Z=600.42)
V(X=-1270.87, Y=-673.54, Z=573.04)
V(X=585.83, Y=1052.09, Z=568.39)
